"sex","age","numgiven","sex1","talkto1","sex2","talkto2","sex3","talkto3","sex4","talkto4","sex5","talkto5","close12","close13","close14","close15","close23","close24","close25","close34","close35","close45","mntlhlth","health1"
"male","46","1","male","once a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"female","53","3","male","almost daily","male","almost daily","female","lt once a month",NA,NA,NA,NA,"especially close","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,NA,"poor"
"female","52","4","male","almost daily","female","almost daily","female","almost daily","female","almost daily",NA,NA,"know each other","know each other","especially close",NA,"know each other","know each other",NA,"especially close",NA,NA,"3","excellent"
"male","29","6","female","almost daily","male","once a week","female","once a week","female","once a month","male","almost daily","know each other","know each other","know each other","total strangers","know each other","especially close","total strangers","especially close","total strangers","total strangers","0","very good"
"male","40","4","female","almost daily","male","once a week","female","once a week","female","almost daily",NA,NA,"know each other","know each other","know each other",NA,"especially close","total strangers",NA,"total strangers",NA,NA,"0",NA
"male","57","6","male","once a week","male","once a week","male","almost daily","male","once a week","male","once a week","know each other","total strangers","know each other","especially close","total strangers","total strangers","know each other","total strangers","total strangers","know each other",NA,NA
"female","28","1","male","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"female","48","4","male","almost daily","female","almost daily","female","once a week","female","once a month",NA,NA,"know each other","know each other","know each other",NA,"especially close","know each other",NA,"know each other",NA,NA,NA,"fair"
"female","59","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"female","78","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","66","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","36","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
